name year month day tmin tmax
HSD_AT_114272 2011 2 21 -1.7 -2
HSD_AT_114272 2011 2 22 -3.2 -3.7
HSD_AT_114272 2011 3 3 -3.7 -4.3
HSD_AT_114272 2013 3 10 1.7 0.8
HSD_AT_114272 2013 3 24 -2.4 -3.1
HSD_AT_114272 2013 3 25 -5.3 -6.3
HSD_AT_114272 2013 3 31 -0.5 -0.7
HSD_AT_114272 2013 4 2 -1.5 -2.1
HSD_AT_114272 2013 9 29 7.8 7.7
HSD_AT_114272 2013 9 30 5.6 4.5
HSD_AT_114272 2014 2 1 0 -1.6
HSD_AT_114272 2014 2 2 -1.1 -2.4
HSD_AT_114272 2014 2 3 -1.6 -2.9
HSD_AT_114272 2014 2 4 -2.8 -3
HSD_AT_114272 2014 2 11 1.1 0.6
HSD_AT_114272 2014 3 2 2.4 2.2
HSD_AT_114272 2014 7 10 10.2 9.3
HSD_AT_114272 2014 9 2 9.8 8.5
HSD_AT_114272 2014 9 13 9.1 8.8
HSD_AT_114272 2015 3 27 4.5 4
HSD_AT_114272 2015 5 22 6.4 6.1
HSD_AT_114272 2015 5 23 6.1 5.7
HSD_AT_114272 2015 7 30 12.3 11.9
HSD_AT_114272 2015 10 7 10.7 9.8
HSD_AT_114272 2015 10 14 6.8 5.5
HSD_AT_114272 2016 2 16 1 0.6
HSD_AT_114272 2016 3 13 2.4 1.2
HSD_AT_114272 2016 8 1 14.7 14.3
HSD_AT_114272 2017 2 6 0.1 -0.9
HSD_AT_114272 2017 2 9 -1.8 -2.7
HSD_AT_114272 2017 2 10 -1.4 -2.1
HSD_AT_114272 2017 2 13 -0.2 -1.2
HSD_AT_114272 2017 9 26 8.1 7.8
HSD_AT_114272 2018 2 22 -1.4 -2.1
HSD_AT_114272 2018 3 17 0.3 0.1
HSD_AT_114272 2018 3 19 -4 -4.1
HSD_AT_114272 2018 5 15 7.7 7.5
HSD_AT_114272 2018 9 1 13.3 13
HSD_AT_114272 2019 4 11 5.7 4.5
HSD_AT_114272 2019 4 14 3.1 2.7
HSD_AT_114272 2019 10 30 3.9 3.6
HSD_AT_114272 2020 3 25 -2.8 -3.1
HSD_AT_114272 2020 3 26 -2.5 -3.1
HSD_AT_114272 2020 6 15 12.9 12.4
HSD_AT_114272 2021 2 10 0.9 0.6
HSD_AT_114272 2021 10 7 6.8 6.3
HSD_AT_114272 2021 10 8 8 7.2
HSD_AT_114272 2022 5 7 8.7 8.5
HSD_AT_114272 2023 1 24 0.8 0.7
HSD_AT_114272 2023 1 26 -0.1 -0.6
HSD_AT_114272 2023 3 1 -1.9 -2.7
HSD_AT_114272 2023 5 11 7.4 6.9
HSD_AT_114272 2023 5 14 7.1 6.5
HSD_AT_114272 2023 8 5 13.1 11.2
HSD_AT_114298 1956 1 31 -8.7 -10.9
HSD_AT_114306 1956 1 31 -8 -11
HSD_AT_114306 1964 12 20 -0.8 -0.9
HSD_AT_114306 1964 12 21 -1.5 -1.7
HSD_AT_114306 1964 12 27 -6 -6.6
HSD_AT_114306 1987 12 1 1.1 0.9
HSD_AT_114306 2012 12 1 1.1 0.8
HSD_AT_114306 2013 12 31 1.9 1.7
HSD_AT_114512 1960 3 11 -1 -1.4
HSD_AT_114512 1960 3 12 -0.4 -1.7
HSD_AT_114512 1963 9 8 10 9.8
HSD_AT_114512 1973 9 26 7.8 7.7
HSD_AT_114512 1978 1 13 1.1 0.9
HSD_AT_114512 1979 1 29 2.2 1.9
HSD_AT_114512 1979 2 17 0.7 0.4
HSD_AT_114512 1983 3 16 1.3 1
HSD_AT_114512 1984 2 26 -0.1 -0.4
HSD_AT_114512 1984 4 3 -0.7 -0.8
HSD_AT_114512 1990 3 27 -0.9 -1.2
HSD_AT_114512 2015 2 6 -2.4 -2.7
HSD_AT_114538 1982 1 1 1.2 1.1
HSD_AT_114561 1951 12 28 -0.9 -1
HSD_AT_114561 1953 12 17 -0.9 -1.1
HSD_AT_114561 1953 12 20 -1.1 -1.2
HSD_AT_114561 1953 12 21 -2 -2.2
HSD_AT_114561 1954 12 13 0.8 0.5
HSD_AT_114561 1955 12 20 -3 -3.1
HSD_AT_114561 1955 12 31 -0.4 -0.8
HSD_AT_114561 1956 1 31 -8.7 -8.9
