name year mark los_MOD los_STA
HSD_IT_PIE_CN_BRA 2006 OK 0 12
HSD_IT_PIE_CN_BRA 2008 OK 6 14
HSD_IT_PIE_CN_BRA 2009 OK 43 63
HSD_IT_PIE_CN_BRA 2010 OK 24 43
HSD_IT_PIE_CN_BRA 2013 OK 8 15
HSD_IT_PIE_CN_BRA 2018 OK 19 25
HSD_IT_PIE_CN_BRA 2019 OK 7 10
HSD_IT_PIE_CN_BRA 2021 OK 12 32
HSD_IT_PIE_CN_CANOSIO_CAPOLUOGO 2006 OK 78 106
HSD_IT_PIE_CN_CANOSIO_CAPOLUOGO 2007 OK 16 56
HSD_IT_PIE_CN_CASTELMAGNO 2007 OK 60 139
HSD_IT_PIE_CN_CASTELMAGNO 2012 OK 64 92
HSD_IT_PIE_CN_CASTELMAGNO 2016 OK 83 111
HSD_IT_PIE_CN_CASTELMAGNO 2017 OK 101 147
HSD_IT_PIE_CN_CASTELMAGNO 2019 OK 93 147
HSD_IT_PIE_CN_CASTELMAGNO 2023 OK 88 115
HSD_IT_PIE_CN_CRISSOLO-BORGATA_SERRE 2003 NO 76 119
HSD_IT_PIE_CN_CRISSOLO-BORGATA_SERRE 2007 NO 23 87
HSD_IT_PIE_CN_CRISSOLO-BORGATA_SERRE 2012 NO 35 53
HSD_IT_PIE_CN_CRISSOLO-BORGATA_SERRE 2015 NO 57 83
